Configuration,Train vocab,% baseline,Train corpus size,% baseline,% OOV,% OOV @200K,% OOV @100K,% OOV @75K,% OOV @50K,% OOV @25K,% 1001 -,% 101 - 1000,% 11 - 100,% 2-10,%1,total,% 1-10
"unsplit, with comments and strings. No filtering.",11589391,,2431144083,,42.08,71.55,76.66,78.86,81.89,86.96,24.81,57.96,15.15,1.81,0.28,,
Filtering non-ASCII tokens,11418908,,2431144083,,34.94,67.78,73.56,76.06,79.48,85.23,24.17,58.39,15.33,1.83,0.28,,
Filtering whitespace (+ non-ascii),11418906,,1892510212,,34.94,67.78,73.56,76.06,79.49,85.23,24.17,58.39,15.33,1.83,0.28,,
"Filtering comments (+ whitespace, + non-ascii)",10813844,,1261768048,,37.72,70.21,75.73,77.95,80.98,86.20,23.42,59.99,14.67,1.68,0.24,,
"Filtering  strings (+ comments, + whitespace, + non-ascii)",9521607,,1151554964,,38.55,70.60,76.07,78.25,81.20,86.22,19.95,62.81,15.25,1.75,0.24,,
"An additional choice, the model from Hellendoorn and Devanbu: keep strings shorter than 15 char (check SLP-core code), remove others, remove comments  (+ no spaces, + no unicode)  --> Baseline for word splitting",10921632,,1151554964,,38.81,71.78,77.27,79.52,82.48,87.41,24.86,59.38,13.94,1.60,0.22,,
"[Unsplit, remove non-ascii, remove whitespace, remove comments, remove strings longer than 15 chars] + Word splitting via conventions --> Baseline for subword splitting",1270257,,1812960637,,7.58,13.41,17.74,20.16,24.49,35.48,37.51,43.46,13.64,3.80,1.58,,
"[Unsplit, remove non-ascii, remove whitespace, remove comments, remove strings longer than 15 chars] + Word splitting via conventions, and remove case.",1098305,,2160127794,,9.48,14.92,18.81,21.03,24.51,32.92,40.23,43.30,12.18,3.05,1.24,,
"[Unsplit, remove non-ascii, remove whitespace, remove comments, remove strings longer than 15 chars + split via conventions, but keep case] + Split numbers",794687,,1852257001,,6.33,11.74,15.94,18.25,22.02,32.03,22.88,49.25,19.58,5.82,2.47,,
"[Unsplit, remove non-ascii, remove whitespace, remove comments, remove strings longer than 15 chars + split via conventions, but keep case] + Split numbers + Ronin",476041,,1886447115,,2.87,4.54,6.96,8.56,11.76,21.65,26.20,44.05,18.46,7.30,3.99,,
"[Unsplit, remove non-ascii, remove whitespace, remove comments, remove strings longer than 15 chars + split via conventions, but keep case] + Split numbers + Ronin + Stemming",324092,,2233565327,,4.16,5.09,7.18,8.15,9.68,13.69,29.28,47.94,15.08,4.93,2.77,,
"Char model (remove non-ascii, remove whitespace, remove comments, remove strings longer than 15 chars, keep case)",279,,4485132432,,0.00,0.00,0.00,0.00,0.00,0.00,6.09,14.34,12.19,2.15,65.23,,
bpe 1k Hellendoorn and Devanbu strings no comments,1271,,2186538924,,0.00,0.00,0.00,0.00,0.00,0.00,1.34,3.15,2.60,0.55,92.37,,
bpe 2k Hellendoorn and Devanbu strings no comments,2271,,1944950540,,0.00,0.00,0.00,0.00,0.00,0.00,0.75,1.76,1.45,0.53,95.51,,
bpe 5k Hellendoorn and Devanbu strings no comments,5264,,1703338207,,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.80,0.80,0.85,97.21,,
bpe 10k Hellendoorn and Devanbu strings no comments,10254,,1574232279,,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.55,0.71,1.42,97.13,,
bpe 20k Hellendoorn and Devanbu strings no comments,20194,,1489322529,,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.45,0.85,7.17,91.43,,
bpe 1k,1767,,3621705192,,0.08,0.08,0.08,0.08,0.08,0.08,5.26,18.45,3.57,2.43,70.29,,
bpe 2k,2767,,3230245135,,0.05,0.05,0.05,0.05,0.05,0.05,3.36,11.78,2.28,1.63,80.95,,
bpe 5k,5766,,2833878759,,0.02,0.02,0.02,0.02,0.02,0.02,1.66,5.69,1.25,1.14,90.25,,
bpe 10k,10758,,2618675315,,0.01,0.01,0.01,0.01,0.01,0.01,0.89,3.13,0.92,1.42,93.63,,
bpe 20k,20723,,2441170271,,0.01,0.01,0.01,0.01,0.01,0.01,0.47,1.78,0.84,5.98,90.92,,
bpe 1k no strings no comments,1225,,2129926211,,91.99,91.99,91.99,91.99,91.99,91.99,0.98,2.94,2.45,0.49,93.14,,
bpe 2k no strings no comments,2212,,1894311601,,85.49,85.49,85.49,85.49,85.49,85.49,0.54,1.63,1.36,0.50,95.98,,
bpe 5k no strings no comments,5139,,1661801017,,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.72,0.78,0.88,97.39,,
bpe 10k no strings no comments,9952,,1538982947,,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.49,0.69,1.41,97.29,,
bpe 20k no strings no comments,19443,,1459086349,,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.41,0.83,7.29,91.38,,
